IDs,S,E,labels
6_149,0.99412,2.11281,0
6_150,0.97865,0.295761,0
6_151,0.99001,2.5429,0
6_152,1.196,1.69845,0
6_153,1.196,1.69845,1
6_154,1.196,1.69845,0
6_155,1.196,1.69845,0
6_156,1.196,1.69845,0
6_157,1.196,1.69845,0
6_158,1.0051,1.06407,0
6_159,1.0051,1.06407,0
6_160,0.92116,1.1648,0
6_161,1.0116,1.01043,0
6_162,0.92116,1.1648,0
6_163,1.0116,1.01043,1
6_164,1.0382,0.327643,0
6_165,0.86357,0.826531,0
6_166,1.0458,1.25431,0
6_167,1.0458,1.25431,0
6_168,1.0458,1.25431,0
6_169,1.0695,1.38242,0
6_170,1.0671,1.57893,0
6_171,1.0777,1.46393,0
6_172,0.84405,1.17865,0
6_173,0.94365,2.61123,0
6_174,0.94365,2.61123,0
6_175,0.94365,2.61123,0
6_176,0.94365,2.61123,0
6_177,1.0742,2.04639,0
6_178,1.0742,2.04639,0
6_179,0.91861,0.781835,0
6_180,0.85115,0.971205,0
6_181,0.90743,0.943482,0
6_182,0.91596,2.31912,0
6_183,1.1013,0.733138,0
6_184,1.1013,0.733138,0
6_185,1.1013,0.733138,0
6_186,1.1013,0.733138,0
6_187,0.91118,1.95502,0
6_188,0.83976,1.20427,0
6_189,0.92897,3.37227,0
6_190,0.92484,3.52483,0
6_191,0.89004,3.5568,0
6_192,0.91426,1.10864,0
6_193,0.92581,1.73099,0
6_194,1.122,1.84183,0
6_195,1.122,1.84183,0
6_196,0.90595,4.7353,0
6_197,0.88045,2.68935,0
6_198,0.81546,1.5596,1
6_199,0.81546,1.5596,0
6_200,0.97916,0.496463,0
6_201,1.122,1.84183,0
6_202,1.122,1.84183,0
6_203,0.90595,4.7353,0
6_204,1.122,1.84183,0
6_205,0.97916,0.496463,0
6_206,0.97916,0.496463,0
6_207,1.122,1.84183,0
6_208,1.122,1.84183,0
6_209,0.90595,4.7353,0
6_210,1.122,1.84183,0
6_211,1.122,1.84183,0
6_212,0.90595,4.7353,0
6_213,1.122,1.84183,0
6_214,0.93774,2.06211,0
6_215,0.91282,1.93014,0
6_216,0.87698,4.6609,0
