IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30
6_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,6.0,4.8,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,6.0,4.4,1.2,1.44,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,6.0,4.8,1.16619038,1.36,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,6.0,4.8,1.16619038,1.36,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,6.0,4.8,1.16619038,1.36,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
